movieId,title,genres,imdbId,tmdbId,userId,rating,rating_timestamp,tag,tags_timestamp
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,114709,862.0,336,4.0,1122227329,pixar,1139045764
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,114709,862.0,474,4.0,978575760,pixar,1137206825
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,114709,862.0,567,3.5,1525286001,fun,1525286013
2,Jumanji (1995),Adventure|Children|Fantasy,113497,8844.0,62,4.0,1528843890,fantasy,1528843929
2,Jumanji (1995),Adventure|Children|Fantasy,113497,8844.0,62,4.0,1528843890,magic board game,1528843932
2,Jumanji (1995),Adventure|Children|Fantasy,113497,8844.0,62,4.0,1528843890,Robin Williams,1528843907
2,Jumanji (1995),Adventure|Children|Fantasy,113497,8844.0,474,3.0,1046886814,game,1137375552
3,Grumpier Old Men (1995),Comedy|Romance,113228,15602.0,289,2.5,1143424657,moldy,1143424860
3,Grumpier Old Men (1995),Comedy|Romance,113228,15602.0,289,2.5,1143424657,old,1143424860
5,Father of the Bride Part II (1995),Comedy,113041,11862.0,474,1.5,1053021982,pregnancy,1137373903
5,Father of the Bride Part II (1995),Comedy,113041,11862.0,474,1.5,1053021982,remake,1137373903
7,Sabrina (1995),Comedy|Romance,114319,11860.0,474,3.0,978576381,remake,1137375642
11,"American President, The (1995)",Comedy|Drama|Romance,112346,9087.0,474,2.5,1053021437,politics,1137374904
11,"American President, The (1995)",Comedy|Drama|Romance,112346,9087.0,474,2.5,1053021437,president,1137374904
14,Nixon (1995),Drama,113987,10858.0,474,3.0,1120827247,politics,1137375623
14,Nixon (1995),Drama,113987,10858.0,474,3.0,1120827247,president,1137375623
16,Casino (1995),Crime|Drama,112641,524.0,474,4.0,1088426731,Mafia,1137181640
17,Sense and Sensibility (1995),Drama|Romance,114388,4584.0,474,5.0,974668666,Jane Austen,1137181153
21,Get Shorty (1995),Comedy|Crime|Thriller,113161,8012.0,474,4.0,1119232784,Hollywood,1137206178
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,112722,1710.0,474,3.0,1046896006,serial killer,1137375496
25,Leaving Las Vegas (1995),Drama|Romance,113627,451.0,474,3.5,1127143175,alcoholism,1138137555
26,Othello (1995),Drama,114057,16420.0,474,3.5,1136942664,Shakespeare,1138137603
28,Persuasion (1995),Drama|Romance,114117,17015.0,474,4.5,1165540007,In Netflix queue,1137201942
28,Persuasion (1995),Drama|Romance,114117,17015.0,474,4.5,1165540007,Jane Austen,1137180037
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,112682,902.0,474,3.5,1053021379,kidnapping,1138137473
31,Dangerous Minds (1995),Drama,112792,9909.0,474,3.0,1060105936,high school,1137375502
31,Dangerous Minds (1995),Drama,112792,9909.0,474,3.0,1060105936,teacher,1137375502
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,114746,63.0,424,3.5,1457901858,time travel,1457901872
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,114746,63.0,474,4.0,1081177409,time travel,1137206826
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,114746,63.0,477,4.5,1200939654,Brad Pitt,1242494310
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,114746,63.0,477,4.5,1200939654,Bruce Willis,1242494306
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,114746,63.0,477,4.5,1200939654,mindfuck,1242494321
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,114746,63.0,477,4.5,1200939654,Post apocalyptic,1242494300
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,114746,63.0,477,4.5,1200939654,post-apocalyptic,1242494300
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,114746,63.0,477,4.5,1200939654,remake,1242494315
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,114746,63.0,477,4.5,1200939654,time travel,1242494304
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,114746,63.0,477,4.5,1200939654,twist ending,1242494302
34,Babe (1995),Children|Drama,112431,9598.0,474,4.5,1081177349,Animal movie,1137180956
34,Babe (1995),Children|Drama,112431,9598.0,474,4.5,1081177349,pigs,1137205237
34,Babe (1995),Children|Drama,112431,9598.0,477,4.0,1200939719,villain nonexistent or not needed for good story,1244787845
36,Dead Man Walking (1995),Crime|Drama,112818,687.0,474,5.0,979180034,death penalty,1137202363
36,Dead Man Walking (1995),Crime|Drama,112818,687.0,474,5.0,979180034,Nun,1137191227
38,It Takes Two (1995),Children|Comedy,113442,33689.0,474,1.0,1089387538,twins,1137373760
39,Clueless (1995),Comedy|Romance,112697,9603.0,357,4.5,1348612128,chick flick,1348627867
39,Clueless (1995),Comedy|Romance,112697,9603.0,357,4.5,1348612128,funny,1348627869
39,Clueless (1995),Comedy|Romance,112697,9603.0,357,4.5,1348612128,Paul Rudd,1348627871
39,Clueless (1995),Comedy|Romance,112697,9603.0,357,4.5,1348612128,quotable,1348627873
39,Clueless (1995),Comedy|Romance,112697,9603.0,357,4.5,1348612128,seen more than once,1348627878
39,Clueless (1995),Comedy|Romance,112697,9603.0,474,3.5,1129579520,Emma,1138137492
39,Clueless (1995),Comedy|Romance,112697,9603.0,474,3.5,1129579520,Jane Austen,1138137492
41,Richard III (1995),Drama|War,114279,31174.0,474,3.5,1089386983,Shakespeare,1138137646
43,Restoration (1995),Drama,114272,35196.0,474,3.5,1081177921,England,1138137640
45,To Die For (1995),Comedy|Drama|Thriller,114681,577.0,474,4.0,1014924369,Journalism,1137206826
46,How to Make an American Quilt (1995),Drama|Romance,113347,11861.0,474,3.0,1081178156,wedding,1137375539
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,114369,807.0,424,5.0,1457842442,mystery,1457842470
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,114369,807.0,424,5.0,1457842442,twist ending,1457842458
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,114369,807.0,474,4.0,979180247,serial killer,1137206452
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,114814,629.0,424,5.0,1457842255,mindfuck,1457842328
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,114814,629.0,424,5.0,1457842255,suspense,1457842315
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,114814,629.0,424,5.0,1457842255,thriller,1457842332
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,114814,629.0,424,5.0,1457842255,tricky,1457842340
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,114814,629.0,424,5.0,1457842255,twist ending,1457842306
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,114814,629.0,474,4.0,979179872,heist,1137206826
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,113819,11448.0,474,4.0,1004131663,adoption,1137206315
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,113819,11448.0,474,4.0,1004131663,prostitution,1137206371
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,110877,11010.0,474,3.5,1126533613,writing,1138137613
62,Mr. Holland's Opus (1995),Drama,113862,2054.0,474,2.5,1053021366,music,1137374957
92,Mary Reilly (1996),Drama|Horror|Thriller,117002,9095.0,474,3.5,1087832141,Jekyll and Hyde,1138137574
96,In the Bleak Midwinter (1995),Comedy|Drama,113403,40154.0,474,3.5,1053020997,theater,1138137537
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,115734,13685.0,474,3.5,1081862489,crime,1138137460
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,115734,13685.0,567,3.0,1525287210,off-beat comedy,1525287216
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,115734,13685.0,567,3.0,1525287210,quirky,1525287214
104,Happy Gilmore (1996),Comedy,116483,9614.0,167,4.0,1154718729,test tag,1154718872
104,Happy Gilmore (1996),Comedy,116483,9614.0,474,2.0,978576279,golf,1137374014
104,Happy Gilmore (1996),Comedy,116483,9614.0,477,4.0,1200940046,Adam Sandler,1244787691
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,117110,10874.0,474,3.0,1046886514,muppets,1137375573
110,Braveheart (1995),Action|Drama|War,112573,197.0,62,4.5,1521822303,beautiful scenery,1528152541
110,Braveheart (1995),Action|Drama|War,112573,197.0,62,4.5,1521822303,epic,1528152532
110,Braveheart (1995),Action|Drama|War,112573,197.0,62,4.5,1521822303,historical,1528152523
110,Braveheart (1995),Action|Drama|War,112573,197.0,62,4.5,1521822303,inspirational,1528152527
110,Braveheart (1995),Action|Drama|War,112573,197.0,62,4.5,1521822303,Medieval,1528152528
110,Braveheart (1995),Action|Drama|War,112573,197.0,62,4.5,1521822303,mel gibson,1528152521
110,Braveheart (1995),Action|Drama|War,112573,197.0,62,4.5,1521822303,Oscar (Best Cinematography),1528152539
110,Braveheart (1995),Action|Drama|War,112573,197.0,62,4.5,1521822303,revenge,1528152531
110,Braveheart (1995),Action|Drama|War,112573,197.0,62,4.5,1521822303,sword fight,1528152535
110,Braveheart (1995),Action|Drama|War,112573,197.0,474,3.0,1137180852,Scotland,1137180974
111,Taxi Driver (1976),Crime|Drama|Thriller,75314,103.0,474,4.0,994819405,assassination,1137206513
116,Anne Frank Remembered (1995),Documentary,112373,51352.0,474,3.5,1053021622,Holocaust,1138040398
122,Boomerang (1992),Comedy|Romance,103859,11066.0,474,1.0,974669063,dating,1137373679
140,Up Close and Personal (1996),Drama|Romance,118055,9302.0,474,2.5,1053021739,journalism,1137375031
147,"Basketball Diaries, The (1995)",Drama,112461,10474.0,424,3.5,1457901610,addiction,1457901627
147,"Basketball Diaries, The (1995)",Drama,112461,10474.0,424,3.5,1457901610,heroin,1457901631
147,"Basketball Diaries, The (1995)",Drama,112461,10474.0,424,3.5,1457901610,Leonardo DiCaprio,1457901625
147,"Basketball Diaries, The (1995)",Drama,112461,10474.0,424,3.5,1457901610,Mark Wahlberg,1457901624
150,Apollo 13 (1995),Adventure|Drama|IMAX,112384,568.0,474,4.5,1100119714,moon,1137205234
150,Apollo 13 (1995),Adventure|Drama|IMAX,112384,568.0,474,4.5,1100119714,NASA,1137180977
150,Apollo 13 (1995),Adventure|Drama|IMAX,112384,568.0,474,4.5,1100119714,space,1137205233
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,112462,414.0,474,3.0,1046881303,superhero,1137375453
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,112715,10329.0,474,1.0,1047055195,Michael Crichton,1137373726
161,Crimson Tide (1995),Drama|Thriller|War,112740,8963.0,474,3.5,1053020992,submarine,1138137497
162,Crumb (1994),Documentary,109508,26564.0,474,3.5,1150143102,In Netflix queue,1137202038
175,Kids (1995),Drama,113540,9344.0,424,4.5,1457901657,controversial,1457901665
175,Kids (1995),Drama,113540,9344.0,424,4.5,1457901657,New York City,1457901671
175,Kids (1995),Drama,113540,9344.0,424,4.5,1457901657,Nudity (Full Frontal),1457901668
185,"Net, The (1995)",Action|Crime|Thriller,113957,1642.0,474,3.0,1069686436,computers,1137375604
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance,58450,5967.0,474,4.5,1107193580,Made me cry,1137203124
215,Before Sunrise (1995),Drama|Romance,112471,76.0,474,3.5,1087158195,generation X,1138040410
216,Billy Madison (1995),Comedy,112508,11017.0,474,1.0,1072654034,school,1137373675
216,Billy Madison (1995),Comedy,112508,11017.0,477,4.0,1200946408,Adam Sandler,1244787718
